ID_token,price_diff,total_price,pred_price,fur_value,pattern_value,eye_shape_value,fur_value,accent_colour_value,base_colour_value,eye_colour_value,pattern_value,mouth_value,image_url_png,opensea
460506,-2.658801435973408,9.5597309492192,6.900929513245791,sphynx,spangled,wonky,sphynx,azaleablush,salmon,topaz,spangled,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/460506.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/460506
479761,-2.595668656232629,9.15430109637324,6.558632440140611,sphynx,amur,thicccbrowz,sphynx,azaleablush,mauveover,strawberry,amur,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/479761.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/479761
478971,-2.522633643145417,8.931183985690032,6.408550342544615,selkirk,spangled,chronic,selkirk,sandalwood,mauveover,sapphire,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/478971.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/478971
20913,-2.43964033237208,10.070528367880488,7.630888035508408,cymric,luckystripe,crazy,cymric,kittencream,orangesoda,topaz,luckystripe,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/20913.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/20913
466854,-2.3561946881301328,9.294049243359039,6.937854555228906,selkirk,spangled,slyboots,selkirk,azaleablush,bananacream,sizzurp,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/466854.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/466854
13140,-2.301370414065784,10.094874374664801,7.7935039605990175,sphynx,luckystripe,crazy,sphynx,granitegrey,aquamarine,mintgreen,luckystripe,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/13140.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/13140
2523,-2.293578525923518,11.169112450648345,8.875533924724827,himalayan,luckystripe,thicccbrowz,himalayan,granitegrey,orangesoda,strawberry,luckystripe,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/2523.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/2523
458590,-2.2628803714292722,9.153801024239971,6.890920652810699,selkirk,amur,crazy,selkirk,granitegrey,salmon,thundergrey,amur,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/458590.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/458590
458593,-2.253484252247514,9.071843393054067,6.818359140806553,ragdoll,amur,wonky,ragdoll,kittencream,bananacream,topaz,amur,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/458593.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/458593
12283,-2.208010859770136,9.97337844411525,7.765367584345114,himalayan,totesbasic,crazy,himalayan,kittencream,orangesoda,sizzurp,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/12283.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/12283
499156,-2.1852912915520006,8.641787799946936,6.4564965083949355,selkirk,spangled,wonky,selkirk,sandalwood,shadowgrey,strawberry,spangled,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/499156.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/499156
20172,-2.1607347760077156,9.797027285788046,7.63629250978033,cymric,totesbasic,crazy,cymric,kittencream,shadowgrey,sizzurp,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/20172.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/20172
19482,-2.131719758708514,9.839753826408602,7.708034067700088,cymric,luckystripe,crazy,cymric,granitegrey,mauveover,mintgreen,luckystripe,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/19482.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/19482
24674,-2.128675084861271,10.165834701472534,8.037159616611262,himalayan,totesbasic,crazy,himalayan,kittencream,greymatter,topaz,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/24674.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/24674
1850,-2.0823271870084916,11.00869616221844,8.926368975209948,himalayan,totesbasic,crazy,himalayan,granitegrey,aquamarine,mintgreen,totesbasic,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1850.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1850
452252,-2.0795498068220377,9.100483228510873,7.020933421688835,sphynx,totesbasic,crazy,sphynx,icy,aquamarine,mintgreen,totesbasic,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/452252.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/452252
14577,-2.053631891109786,9.823063683300354,7.769431792190568,cymric,totesbasic,thicccbrowz,cymric,granitegrey,mauveover,mintgreen,totesbasic,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/14577.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/14577
22206,-2.0227026377169803,9.963044189444835,7.940341551727855,munchkin,totesbasic,crazy,munchkin,kittencream,aquamarine,topaz,totesbasic,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/22206.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/22206
482875,-2.0207582709031726,8.461203179868557,6.440444908965384,ragdoll,spangled,wonky,ragdoll,purplehaze,bananacream,sizzurp,spangled,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/482875.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/482875
479962,-2.015407091230478,8.463958005064367,6.448550913833889,selkirk,spangled,thicccbrowz,selkirk,morningglory,greymatter,mintgreen,spangled,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/479962.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/479962
15487,-2.0119800240908656,9.780674491931872,7.768694467841007,ragamuffin,luckystripe,crazy,ragamuffin,kittencream,orangesoda,sizzurp,luckystripe,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/15487.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/15487
461417,-1.994595099031299,8.874387096558808,6.879791997527509,munchkin,spangled,thicccbrowz,munchkin,icy,greymatter,topaz,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/461417.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/461417
467069,-1.9868321226537544,8.797671478802496,6.810839356148741,ragdoll,amur,wonky,ragdoll,icy,greymatter,sizzurp,amur,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/467069.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/467069
496905,-1.9680013027484007,8.409977511560506,6.441976208812105,selkirk,spangled,slyboots,selkirk,sandalwood,bananacream,coralsunrise,spangled,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/496905.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/496905
473655,-1.956998183184922,8.848515518128949,6.891517334944027,ragdoll,spangled,thicccbrowz,ragdoll,morningglory,mauveover,mintgreen,spangled,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/473655.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/473655
483203,-1.943507541915472,8.38373901882287,6.440231476907399,sphynx,spangled,slyboots,sphynx,sandalwood,bananacream,thundergrey,spangled,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/483203.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/483203
1225037,-1.9297064039254064,9.17526817566694,7.245561771741533,selkirk,amur,asif,selkirk,cashewmilk,cottoncandy,cyan,amur,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1225037.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1225037
19631,-1.928893375100171,9.589634087090413,7.660740711990242,cymric,luckystripe,crazy,cymric,kittencream,salmon,topaz,luckystripe,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/19631.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/19631
487449,-1.9115902717227664,8.33345514387278,6.421864872150013,ragdoll,spangled,slyboots,ragdoll,morningglory,greymatter,sapphire,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/487449.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/487449
465580,-1.909889245023522,8.723575128463487,6.813685883439965,sphynx,amur,chronic,sphynx,sandalwood,bananacream,thundergrey,amur,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/465580.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/465580
