ID_token,price_diff,total_price,pred_price,fur_value,pattern_value,eye_shape_value,fur_value,accent_colour_value,base_colour_value,eye_colour_value,pattern_value,mouth_value,image_url_png,opensea
464590,-3.262207922252662,9.816937821698787,6.554729899446125,sphynx,spangled,chronic,sphynx,sandalwood,shadowgrey,mintgreen,spangled,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/464590.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/464590
457576,-3.132133859358164,9.633595776811289,6.501461917453125,selkirk,amur,wonky,selkirk,sandalwood,bananacream,topaz,amur,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/457576.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/457576
661736,-3.0258737721815177,10.070528367880488,7.044654595698971,ragdoll,totesbasic,chronic,ragdoll,frosting,mauveover,coralsunrise,totesbasic,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/661736.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/661736
457618,-2.9426441212775902,9.5597309492192,6.617086827941609,selkirk,luckystripe,crazy,selkirk,sandalwood,bananacream,strawberry,luckystripe,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/457618.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/457618
475428,-2.8112792494583365,9.15430109637324,6.343021846914904,selkirk,amur,wonky,selkirk,icy,shadowgrey,mintgreen,amur,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/475428.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/475428
472807,-2.719799438458889,9.10301336849242,6.383213930033531,sphynx,amur,slyboots,sphynx,morningglory,cottoncandy,topaz,amur,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/472807.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/472807
486891,-2.664514161782834,8.761309430337047,6.096795268554213,selkirk,amur,slyboots,selkirk,morningglory,greymatter,thundergrey,amur,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/486891.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/486891
467311,-2.6480209743842806,9.15430109637324,6.50628012198896,munchkin,spangled,wonky,munchkin,icy,cottoncandy,thundergrey,spangled,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/467311.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/467311
15195,-2.642356720398457,10.406988516356153,7.764631795957696,himalayan,totesbasic,crazy,himalayan,kittencream,mauveover,topaz,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/15195.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/15195
489856,-2.5939514796590846,8.83275758879091,6.238806109131826,selkirk,spangled,chronic,selkirk,sandalwood,bananacream,thundergrey,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/489856.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/489856
2444,-2.5559735615167565,11.560193351625127,9.00421979010837,sphynx,totesbasic,thicccbrowz,sphynx,kittencream,greymatter,mintgreen,totesbasic,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/2444.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/2444
470071,-2.4751099417916116,8.992365620159608,6.517255678367997,sphynx,spangled,chronic,sphynx,azaleablush,bananacream,sapphire,spangled,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/470071.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/470071
473125,-2.435349886304585,8.859966236189473,6.4246163498848885,sphynx,spangled,wonky,sphynx,sandalwood,bananacream,strawberry,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/473125.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/473125
475748,-2.378246218503393,8.796488749272296,6.418242530768903,ragdoll,spangled,wonky,ragdoll,azaleablush,bananacream,sapphire,spangled,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/475748.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/475748
834276,-2.3776582961562793,8.441061283254346,6.063402987098066,koladiviya,rascal,slyboots,koladiviya,frosting,cottoncandy,dahlia,rascal,fangtastic,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/834276.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/834276
486713,-2.2945405838209334,8.451211474706072,6.156670890885139,ragdoll,spangled,slyboots,ragdoll,azaleablush,cottoncandy,thundergrey,spangled,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/486713.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/486713
491388,-2.2425196958783156,8.43091687208961,6.188397176211294,ragdoll,spangled,wonky,ragdoll,sandalwood,greymatter,topaz,spangled,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/491388.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/491388
460393,-2.2369079566351395,8.99180083092286,6.754892874287721,selkirk,spangled,thicccbrowz,selkirk,icy,bananacream,thundergrey,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/460393.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/460393
495924,-2.181903359516098,8.92899727891508,6.747093919398982,birman,spangled,slyboots,birman,sandalwood,greymatter,thundergrey,spangled,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/495924.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/495924
838245,-2.1768058243402626,8.33345514387278,6.156649319532517,ragdoll,rascal,wonky,ragdoll,cashewmilk,cinderella,cyan,rascal,fangtastic,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/838245.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/838245
11264,-2.169202369442294,10.194429663291608,8.025227293849314,cymric,totesbasic,thicccbrowz,cymric,kittencream,mauveover,topaz,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/11264.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/11264
459638,-2.148780679409791,8.754396646670942,6.605615967261151,selkirk,spangled,wonky,selkirk,azaleablush,aquamarine,mintgreen,spangled,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/459638.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/459638
443733,-2.08699809961396,9.15430109637324,7.06730299675928,ragdoll,amur,thicccbrowz,ragdoll,granitegrey,aquamarine,gold,amur,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/443733.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/443733
481505,-2.0845336374599457,8.797671478802496,6.71313784134255,selkirk,spangled,thicccbrowz,selkirk,morningglory,shadowgrey,topaz,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/481505.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/481505
463939,-2.0583167610533195,8.676330116378429,6.618013355325109,ragdoll,luckystripe,slyboots,ragdoll,icy,bananacream,topaz,luckystripe,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/463939.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/463939
846267,-2.041757123213366,7.950575044086728,5.9088179208733616,koladiviya,tiger,wiley,koladiviya,cashewmilk,cottoncandy,dahlia,tiger,fangtastic,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/846267.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/846267
483750,-2.0293384236902634,8.211581978260007,6.182243554569744,selkirk,spangled,wonky,selkirk,purplehaze,greymatter,sapphire,spangled,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/483750.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/483750
1144,-2.0259911961404793,11.679932433138815,9.653941236998335,himalayan,totesbasic,thicccbrowz,himalayan,granitegrey,orangesoda,mintgreen,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1144.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1144
457889,-2.017988234197226,8.596119687025078,6.5781314528278525,selkirk,luckystripe,wonky,selkirk,sandalwood,salmon,sizzurp,luckystripe,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/457889.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/457889
506520,-2.0152059439448067,8.973998441481255,6.958792497536448,bobtail,tiger,chronic,bobtail,morningglory,greymatter,strawberry,tiger,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/506520.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/506520
501546,-2.012839131885885,8.643545979403076,6.630706847517191,birman,amur,slyboots,birman,morningglory,cottoncandy,sapphire,amur,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/501546.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/501546
846541,-2.008475201846469,8.104675371299653,6.0962001694531835,koladiviya,rorschach,thicccbrowz,koladiviya,icy,cinderella,sapphire,rorschach,impish,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/846541.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/846541
1471,-2.0082090651094084,11.456790997306655,9.448581932197246,ragamuffin,totesbasic,crazy,ragamuffin,granitegrey,salmon,mintgreen,totesbasic,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1471.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1471
834646,-1.9758177074332641,7.768323976693663,5.792506269260399,koladiviya,rascal,slyboots,koladiviya,purplehaze,brownies,cyan,rascal,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/834646.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/834646
846117,-1.9568695570536194,7.768323976693663,5.811454419640044,koladiviya,rorschach,chronic,koladiviya,kalahari,cinderella,cyan,rorschach,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/846117.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/846117
458087,-1.9526361132553687,8.546868765743378,6.594232652488009,selkirk,totesbasic,thicccbrowz,selkirk,granitegrey,shadowgrey,thundergrey,totesbasic,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/458087.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/458087
834688,-1.94298153312893,7.747314727278274,5.804333194149344,selkirk,rorschach,chronic,selkirk,frosting,brownies,dahlia,rorschach,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/834688.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/834688
828709,-1.9400451441566888,7.944895440949072,6.004850296792383,koladiviya,rorschach,wiley,koladiviya,icy,greymatter,parakeet,rorschach,impish,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/828709.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/828709
458368,-1.9307454692626136,8.600994028466902,6.670248559204288,ragdoll,amur,crazy,ragdoll,icy,aquamarine,mintgreen,amur,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/458368.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/458368
837922,-1.9299812552720184,8.102747735269581,6.172766479997563,birman,rascal,thicccbrowz,birman,purplehaze,cinderella,parakeet,rascal,fangtastic,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/837922.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/837922
457232,-1.9054084626959567,8.643545979403076,6.738137516707119,munchkin,totesbasic,crazy,munchkin,kittencream,shadowgrey,thundergrey,totesbasic,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/457232.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/457232
844142,-1.9053035990214964,7.768323976693663,5.863020377672167,selkirk,rascal,thicccbrowz,selkirk,kalahari,brownies,dahlia,rascal,impish,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/844142.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/844142
