ID_token,price_diff,total_price,pred_price,fur_value,pattern_value,eye_shape_value,fur_value,accent_colour_value,base_colour_value,eye_colour_value,pattern_value,mouth_value,image_url_png,opensea
11023,3.559268135350904,5.522308282102384,9.081576417453288,munchkin,totesbasic,crazy,munchkin,granitegrey,orangesoda,strawberry,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/11023.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/11023
2727,2.5546035141309344,7.075599628227054,9.630203142357988,munchkin,totesbasic,crazy,munchkin,kittencream,orangesoda,strawberry,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/2727.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/2727
20379,2.3999420120101,6.10751676132161,8.50745877333171,himalayan,totesbasic,crazy,himalayan,kittencream,orangesoda,mintgreen,totesbasic,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/20379.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/20379
50851,2.358319538894758,7.329470575092838,9.687790113987596,munchkin,totesbasic,crazy,munchkin,granitegrey,greymatter,sizzurp,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/50851.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/50851
15785,1.9888420221383525,6.132014990900035,8.120857013038387,cymric,totesbasic,thicccbrowz,cymric,kittencream,aquamarine,sizzurp,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/15785.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/15785
14660,1.982389014086909,6.266757800137498,8.249146814224407,sphynx,luckystripe,thicccbrowz,sphynx,kittencream,salmon,strawberry,luckystripe,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/14660.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/14660
19136,1.9511709971309665,5.93030818036628,7.881479177497247,sphynx,totesbasic,crazy,sphynx,kittencream,mauveover,sizzurp,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/19136.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/19136
13096,1.8788696325622247,6.22951406729079,8.108383699853015,himalayan,luckystripe,thicccbrowz,himalayan,kittencream,mauveover,mintgreen,luckystripe,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/13096.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/13096
16654,1.808495718969553,5.844655546002027,7.65315126497158,himalayan,totesbasic,crazy,himalayan,granitegrey,mauveover,topaz,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/16654.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/16654
12659,1.761405725508867,6.302217628495036,8.063623354003903,cymric,luckystripe,crazy,cymric,granitegrey,orangesoda,topaz,luckystripe,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/12659.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/12659
2399,1.6825507412758665,7.822789734070957,9.505340475346824,ragamuffin,totesbasic,crazy,ragamuffin,kittencream,salmon,topaz,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/2399.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/2399
536603,1.6806225956163914,5.856677977586353,7.537300573202744,bobtail,tiger,chronic,bobtail,azaleablush,greymatter,mintgreen,tiger,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/536603.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/536603
19586,1.661973596301225,6.687674426302031,8.349648022603256,cymric,luckystripe,crazy,cymric,kittencream,aquamarine,strawberry,luckystripe,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/19586.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/19586
10706,1.5796219251005406,6.342297685395326,7.921919610495866,ragamuffin,totesbasic,thicccbrowz,ragamuffin,granitegrey,greymatter,topaz,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/10706.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/10706
13191,1.545519382521917,6.239480296581516,7.784999679103433,munchkin,totesbasic,thicccbrowz,munchkin,granitegrey,shadowgrey,topaz,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/13191.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/13191
2730,1.5357523217155178,6.852667425933288,8.388419747648806,sphynx,luckystripe,thicccbrowz,sphynx,granitegrey,greymatter,sizzurp,luckystripe,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/2730.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/2730
170547,1.5081927863289284,8.409604915659571,9.9177977019885,cymric,luckystripe,googly,cymric,granitegrey,mauveover,gold,luckystripe,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/170547.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/170547
523728,1.4271574086609737,6.244673447246218,7.671830855907192,ragdoll,spangled,wonky,ragdoll,morningglory,mauveover,mintgreen,spangled,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/523728.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/523728
513177,1.3101400398146277,6.947881543538418,8.258021583353045,selkirk,amur,slyboots,selkirk,azaleablush,bananacream,coralsunrise,amur,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/513177.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/513177
2675,1.3092645974242032,7.749529487416687,9.05879408484089,ragamuffin,totesbasic,crazy,ragamuffin,granitegrey,shadowgrey,strawberry,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/2675.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/2675
